GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",365697,43752,41432,36480,71772,0.1196400298607864,0.11329598000530494,0.1962608388912132,0.0997547149689497,0.29601555386016293,0.40931153386546787,0.5289515637262543
39580,"Raleigh-Cary, NC Metro Area",175738,21265,30160,17013,20399,0.12100399458284491,0.1716191148186505,0.11607620434965688,0.09680888595522881,0.21288509030488567,0.38450420512353617,0.5055081997063811
39900,"Reno, NV Metro Area",78577,13152,9496,6264,9765,0.16737722234241573,0.120849612482024,0.12427300609593138,0.07971798363388778,0.20399098972981916,0.3248406022118432,0.4922178245542589
41060,"St. Cloud, MN Metro Area",24489,1340,4068,6497,5012,0.05471844501612969,0.1661153987504594,0.20466331822450895,0.2653027890073094,0.46996610723181836,0.6360815059822778,0.6907999509984074
41620,"Salt Lake City, UT Metro Area",133942,13072,18091,18736,22387,0.09759448119335234,0.13506592405668125,0.16713950814531664,0.13988144122082694,0.30702094936614355,0.4420868734228248,0.5396813546161772
41700,"San Antonio-New Braunfels, TX Metro Area",337418,44460,52446,28337,39894,0.13176534743256138,0.15543332009554914,0.11823317072592453,0.0839818859693318,0.20221505669525633,0.35764837679080547,0.4894137242233669
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",523706,70284,65996,53415,93499,0.13420506925641487,0.12601726923120987,0.17853337559623148,0.10199424868151215,0.28052762427774364,0.4065448935089535,0.5407499627653684
41860,"San Francisco-Oakland-Berkeley, CA Metro Area",769393,88802,84682,92459,151289,0.11541825828932678,0.1100633876315485,0.19663422984092654,0.1201713558610489,0.3168055857019755,0.42686897333352397,0.5422872316228508
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",289943,26716,28089,28379,71339,0.09214224864887237,0.0968776621611834,0.24604491227586112,0.09787785875154771,0.3439227710274088,0.44080043318859224,0.5329426818374646
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",607492,69733,79343,77394,140138,0.11478834289175825,0.1306074812507819,0.2306828731900996,0.12739920854924838,0.358082081739348,0.4886895629901299,0.6034779058818882
43620,"Sioux Falls, SD Metro Area",36155,4451,5743,7207,4376,0.12310883695201218,0.1588438666851058,0.12103443507122114,0.19933619139814687,0.320370626469368,0.4792144931544738,0.602323330106486
44060,"Spokane-Spokane Valley, WA Metro Area",80157,8606,11534,8857,11388,0.10736429756602667,0.1438926107514004,0.14207118529885102,0.1104956522823958,0.2525668375812468,0.3964594483326472,0.5038237458986738
45940,"Trenton-Princeton, NJ Metro Area",50710,4486,9214,3925,8261,0.08846381384342339,0.18169986196016566,0.16290672451193058,0.07740090711891146,0.24030763163084204,0.4220074935910077,0.510471307434431
46520,"Urban Honolulu, HI Metro Area",137352,14358,12365,11536,30163,0.10453433513891315,0.09002417147183878,0.21960364610635447,0.08398858407595085,0.3035922301823053,0.3936164016541441,0.49815073679305727
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",846815,94640,163302,52324,257461,0.111759947568241,0.1928425925379215,0.3040345293836316,0.061789174731198666,0.3658237041148303,0.5586662966527518,0.6704262442209927
