GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,renter_occupied_5_plus,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
10100,"Aberdeen, SD Micro Area",5782,838,855,756,364,2813,0.1449325492909028,0.14787270840539607,0.06295399515738499,0.13075060532687652,0.1937046004842615,0.34157730888965754,0.48650985818056036
10140,"Aberdeen, WA Micro Area",9549,727,661,477,377,2242,0.07613362655775474,0.06922190805319929,0.03948057388208189,0.04995287464655985,0.08943344852864174,0.15865535658184102,0.23478898313959576
10180,"Abilene, TX Metro Area",22874,2041,2050,555,1272,5918,0.08922794439101163,0.08962140421439188,0.055608988371076334,0.024263355775115854,0.07987234414619218,0.16949374836058406,0.2587216927515957
10220,"Ada, OK Micro Area",5031,323,111,185,174,793,0.06420194792287816,0.022063208109719738,0.0345855694692904,0.03677201351619956,0.07135758298548996,0.0934207910952097,0.15762273901808785
10260,"Adjuntas, PR Micro Area",2670,159,77,16,17,269,0.05955056179775281,0.02883895131086142,0.006367041198501872,0.00599250936329588,0.012359550561797753,0.04119850187265917,0.10074906367041199
10300,"Adrian, MI Micro Area",8644,1062,635,267,488,2452,0.12285978713558537,0.07346136048125868,0.05645534474780194,0.03088847755668672,0.08734382230448866,0.16080518278574735,0.2836649699213327
10380,"Aguadilla-Isabela, PR Metro Area",38732,2120,1902,390,692,5104,0.05473510275740989,0.049106681813487554,0.01786636373024889,0.010069193431787669,0.027935557162036558,0.07704223897552412,0.131777341732934
10420,"Akron, OH Metro Area",95709,10909,10451,5312,10870,37542,0.11398092133446175,0.1091955824426125,0.11357343614498114,0.05550157247489787,0.169075008619879,0.2782705910624915,0.3922515123969533
10460,"Alamogordo, NM Micro Area",8111,335,368,50,32,785,0.041301935642954014,0.045370484527185305,0.0039452595241030695,0.006164468006411046,0.010109727530514116,0.05548021205769942,0.09678214770065344
10500,"Albany, GA Metro Area",26395,2993,1276,450,369,5088,0.11339268800909263,0.04834248910778557,0.013979920439477173,0.01704868346277704,0.031028603902254214,0.07937109301003978,0.1927637810191324
10540,"Albany, OR Metro Area",17120,1496,1350,1005,883,4734,0.08738317757009346,0.07885514018691589,0.05157710280373832,0.058703271028037386,0.1102803738317757,0.18913551401869158,0.27651869158878506
10580,"Albany-Schenectady-Troy, NY Metro Area",126087,17812,12723,7287,13191,51013,0.1412675374939526,0.10090651692878727,0.10461823978681387,0.057793428347093674,0.16241166813390753,0.26331818506269483,0.4045857225566474
10620,"Albemarle, NC Micro Area",6282,313,73,31,67,484,0.04982489652976759,0.011620503024514485,0.010665393186883159,0.004934734161095192,0.015600127347978351,0.027220630372492838,0.07704552690226042
10660,"Albert Lea, MN Micro Area",3196,151,323,389,392,1255,0.04724655819774718,0.10106382978723404,0.12265331664580725,0.12171464330413016,0.24436795994993743,0.3454317897371715,0.3926783479349186
10700,"Albertville, AL Micro Area",10341,1091,254,106,256,1707,0.10550236920994101,0.02456242142926216,0.024755826322405958,0.010250459336621217,0.03500628565902717,0.05956870708828933,0.16507107629823034
10740,"Albuquerque, NM Metro Area",115919,10723,10845,7273,13583,42424,0.09250424865638937,0.09355670770106712,0.11717664921194973,0.06274208714705959,0.17991873635900932,0.27347544406007646,0.3659796927164658
10760,"Alexander City, AL Micro Area",4466,353,116,59,172,700,0.07904164800716525,0.025974025974025976,0.03851321092700403,0.013210927004030452,0.05172413793103448,0.07769816390506046,0.15673981191222572
10780,"Alexandria, LA Metro Area",21063,1640,1078,187,709,3614,0.0778616531358306,0.0511797939514789,0.03366092199591701,0.00887812752219532,0.042539049518112326,0.09371884346959122,0.17158049660542182
10820,"Alexandria, MN Micro Area",4227,287,589,748,660,2284,0.06789685356044475,0.13934232316063402,0.15613910574875797,0.17695765318192572,0.3330967589306837,0.47243908209131774,0.5403359356517625
10860,"Alice, TX Micro Area",4127,374,213,37,79,703,0.09062272837412164,0.05161133995638478,0.019142234068330505,0.008965350133268718,0.028107584201599225,0.07971892415798401,0.17034165253210565
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",98242,11792,10473,5569,8702,36536,0.12003012967977036,0.10660410007939577,0.08857718694651982,0.05668654954092954,0.14526373648744936,0.25186783656684514,0.3718979662466155
10940,"Alma, MI Micro Area",4135,240,363,171,209,983,0.05804111245465538,0.08778718258766627,0.05054413542926239,0.04135429262394196,0.09189842805320435,0.17968561064087063,0.237726723095526
10980,"Alpena, MI Micro Area",2858,198,176,199,189,762,0.06927921623512946,0.0615815255423373,0.06613016095171449,0.06962911126662001,0.1357592722183345,0.1973407977606718,0.26662001399580126
11020,"Altoona, PA Metro Area",15404,1533,826,684,1744,4787,0.09951960529732537,0.05362243573097897,0.11321734614385874,0.044404050895871204,0.15762139703972994,0.2112438327707089,0.3107634380680343
11060,"Altus, OK Micro Area",4261,311,162,120,145,738,0.07298756160525698,0.03801924430884769,0.03402957052335132,0.02816240319173903,0.06219197371509035,0.10021121802393804,0.17319877962919503
11100,"Amarillo, TX Metro Area",34886,3864,3269,2240,3273,12646,0.1107607636301095,0.09370521125953105,0.09381987043513157,0.06420913833629537,0.15802900877142692,0.25173422003095797,0.36249498366106747
